index	u_check
0	1.67229925
1	-1.152095351800688
2	-1.2351825920695945
3	-0.28850351396169005
4	0.3692015658132033
5	0.4305984842114821
6	0.188643609241614
7	-0.024803168708107337
8	-0.08902455772237824
9	-0.05238364184460277
10	-0.0007812577920956604
11	0.021550489554502762
12	0.016620045532477284
13	0.0037058435405739262
14	-0.0039070355195508066
15	-0.004320374929676628
16	-0.001560554200585773
17	0.0006237459359874661
18	0.001102207417305286
19	0.0005625648355402253
20	-3.136392513951314e-05
21	-0.00025046041655674443
22	-0.0001709926283798846
23	-2.376128614380802e-05
24	5.217393863074892e-05
25	4.8159840565279765e-05
26	1.430103353124233e-05
27	-9.017917655449663e-06
28	-1.243770510250331e-05
29	-5.4850892615171e-06
30	1.0199673088275706e-06
31	2.981859053834146e-06
32	1.7817385685177387e-06
33	1.0044170596581101e-07
34	-6.498690725887823e-07
35	-5.191190166195284e-07
36	-1.1800736377745713e-07
37	1.2412428203274221e-07
38	1.3935790859845713e-07
39	5.2163831580344345e-08
40	-1.8224839124216274e-08
41	-3.46133284328934e-08
42	-1.8074770179100432e-08
43	7.604669710604359e-10
44	7.905657916515294e-09
45	5.511369637324638e-09
46	8.448446420514705e-10
47	-1.6177261324147022e-09
48	-1.5342898406401966e-09
49	-4.721140343131281e-10
50	2.7595338822391115e-10
51	3.9502554448023696e-10
52	1.7867855018575881e-10
53	-2.8988585085506434e-11
54	-9.395415851442685e-11
55	-5.738883823993412e-11
56	-4.06796341395957e-12
57	2.0327448353268337e-11
58	1.661845341846281e-11
59	3.973796825589497e-12
60	-3.828014886663366e-12
61	-4.433119227105706e-12
62	-1.7080290899139386e-12
63	5.441108378678056e-13
64	1.09470506889466e-12
65	5.848101210502205e-13
66	-1.4334684248995592e-14
67	-2.4821398542123654e-13
68	-1.769116029003192e-13
69	-2.937211017551465e-14
70	5.027108412661811e-14
71	4.8946509073570834e-14
72	1.5605169189039088e-14
73	-8.402702564069674e-15
74	-1.2527915801583362e-14
75	-5.808380225623088e-15
76	8.150397868648742e-16
77	2.9605048537824344e-15
78	1.8483238636480653e-15
79	1.5763233847758477e-16
80	-6.350895278082037e-16
81	-5.316181701570852e-16
82	-1.3328774028340903e-16
83	1.1791663592335589e-16
84	1.4097794220650164e-16
85	5.586899353767995e-17
86	-1.6160777728132e-17
87	-3.460227716790195e-17
88	-1.8906901752780035e-17
89	1.4259516771141134e-19
90	7.78854959239303e-18
91	5.676043782629508e-18
92	1.0135629661931334e-18
93	-1.5604924147001083e-18
94	-1.5607486208537375e-18
95	-5.148676887459466e-19
96	2.552223995990308e-19
97	3.971337051627688e-19
98	1.886532834230853e-19
99	-2.250297374227318e-20
